,corp_code,stock_code,corp_cls,corp_name,sector,product
743,00216027,053030,K,바이넥스,의약품 제조업,"정장제, 소화제"
744,00403793,301300,K,바이브컴퍼니,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)"
745,00622787,377740,Y,바이오노트,의료용품 및 기타 의약 관련제품 제조업,"Rapid 반제품 및 완제품, 동물용신속진단 키트"
746,00326731,064550,K,바이오니아,의료용품 및 기타 의약 관련제품 제조업,"합성유전자,시약및유전자분석장비"
747,01117413,314930,K,바이오다인,의료용 기기 제조업,액상세포검사 장비 및 소모품
748,01047707,208710,K,바이오로그디바이스,전자부품 제조업,모바일용 카메라모듈 부품외
749,00560982,086820,K,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등"
750,00240857,038460,K,바이오스마트,전자부품 제조업,"M/S 카드제조업, IC 카드제조, 카드장비판매"
751,01160974,251120,K,바이오에프디엔씨,기초 의약물질 및 생물학적 제제 제조업,식물세포 유래 유효물질 및 약리물질
752,01110058,199730,K,바이오인프라,자연과학 및 공학 연구개발업,"생동성시험, 검체 분석"
753,00447502,086040,K,바이오톡스텍,자연과학 및 공학 연구개발업,"안전성평가, 유효성평가"
754,00636656,099430,K,바이오플러스,기초 의약물질 및 생물학적 제제 제조업,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품"
755,00232089,032980,K,바이온,음·식료품 및 담배 도매업,"배너,타포린,화장품,자동차부품"
756,01037542,222160,K,바이옵트로,특수 목적용 기계 제조업,인쇄회로기판(PCB) 전기검사기
757,01335790,308080,K,바이젠셀,자연과학 및 공학 연구개발업,"면역세포치료제 (면역항암제, 면역조절치료제 등)"
758,00264255,043150,K,바텍,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등"
759,01335851,323990,K,박셀바이오,자연과학 및 공학 연구개발업,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)"
760,00122348,003610,Y,방림,직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매"
761,01182240,267790,K,배럴,봉제의복 제조업,래쉬가드 및 워터스포츠 등
762,00122472,001340,Y,백광산업,기초 화학물질 제조업,"가성소다,합성염산 제조,판매"
763,00360036,046310,K,백금T&A,통신 및 방송 장비 제조업,레이더디텍터
764,00122551,035150,Y,백산,플라스틱제품 제조업,"P.U.인조피혁,부직포인공피혁 제조,무역"
765,01398151,331520,K,밸로프,소프트웨어 개발 및 공급업,기업인수합병
766,00122694,002410,Y,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사"
767,01435489,382900,K,범한퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축"
768,01043853,206400,K,베노홀딩스,실내건축 및 건축마무리 공사업,"웹게임, 모바일게임"
769,00267906,019010,K,베뉴지,종합 소매업,"백화점,예식장업"
770,00813389,177350,K,베셀,특수 목적용 기계 제조업,디스플레이 제조장비
771,00122898,007210,Y,벽산,기타 비금속 광물제품 제조업,"단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등"
772,00568461,225530,K,보광산업,기타 비금속 광물제품 제조업,"콘크리트용 부순골재, 아스콘, 레미콘"
773,01124680,250000,K,보라티알,음·식료품 및 담배 도매업,"유가공품, 소스류, 파스타류"
774,00123107,002760,Y,보락,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매"
775,00123143,003850,Y,보령,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조"
776,01327746,310210,K,보로노이,기초 의약물질 및 생물학적 제제 제조업,표적치료제
777,00267881,006910,K,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전용자재
778,00123541,000890,Y,보해양조,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매"
779,01098792,226340,K,본느,기타 화학제품 제조업,기업인수합병
780,00123718,003000,Y,부광약품,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조"
781,00123772,001270,Y,부국증권,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선"
782,00123781,026940,Y,부국철강,1차 철강 제조업,철강
783,00243067,014470,K,부방,기타 금융업,"자회사관리, 부동산임대"
784,00124027,011390,Y,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘 제조,판매"
785,00124276,008470,K,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매"
786,01344202,338220,K,뷰노,소프트웨어 개발 및 공급업,"뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등"
787,00609324,100120,K,뷰웍스,의료용 기기 제조업,X-Ray Detector
788,01391103,337930,K,브랜드엑스코퍼레이션,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품"
789,00642897,099390,K,브레인즈컴퍼니,소프트웨어 개발 및 공급업,IT 인프라 통합관리 솔루션
790,00359076,064480,K,브리지텍,소프트웨어 개발 및 공급업,"컨택센터솔루션,BcN솔루션,ASP서비스사업"
791,01227039,288330,K,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제"
792,01354740,365900,K,브이씨,운동 및 경기용구 제조업,골프용 거리측정기
793,01027794,251630,K,브이원텍,특수 목적용 기계 제조업,"LCD/OLED 압흔검사기, 2차전지 검사장비"
794,00150165,018290,K,브이티지엠피,기타 화학제품 제조업,"화장품, 라미네이팅필름, 라미네이팅기계"
795,00173449,044480,K,블레이드 Ent,고무제품 제조업,"콘돔,고무골무,의료용 장갑"
796,00238001,033560,K,블루콤,영상 및 음향기기 제조업,블루투스헤드셋
797,01508855,369370,K,블리츠웨이,"인형,장난감 및 오락용품 제조업",기업 인수 및 합병
798,00563518,126340,K,비나텍,일차전지 및 축전지 제조업,초고용량 커패시터(슈퍼커패시터)
799,00533191,082800,K,비보존 제약,반도체 제조업,완제의약품제조
800,01153105,318410,K,비비씨,그외 기타 제품 제조업,덴탈 케어용 소재(테이퍼모 등)
801,00107677,002070,Y,비비안,봉제의복 제조업,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대"
802,00520887,100220,Y,비상교육,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급"
803,01506848,419540,K,비스토스,의료용 기기 제조업,환자 및 태아감시장치
804,01301623,146320,K,비씨엔씨,반도체 제조업,반도체용 합성쿼츠 포커스링
805,00256043,200780,K,비씨월드제약,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약"
806,00610083,141000,K,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비
807,00447609,090460,K,비에이치,전자부품 제조업,연성인쇄회로기판(FPCB)
808,00409788,083650,K,비에이치아이,일반 목적용 기계 제조업,"보일러,열교환기등"
809,01689336,445360,K,비엔케이제1호스팩,금융 지원 서비스업,기업인수합병
810,00587925,142760,K,비엘,자연과학 및 공학 연구개발업,"자궁경부상피이형증 치료제, 자궁경부전암 치료백신"
811,00384717,065170,K,비엘팜텍,음·식료품 및 담배 도매업,건강보조식품 등
812,00524786,086670,K,비엠티,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)"
813,01406618,335890,K,비올,의료용 기기 제조업,의료기기
814,01014657,138580,K,비즈니스온,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌)
815,00154718,082920,K,비츠로셀,일차전지 및 축전지 제조업,리튬1차전지
816,00201432,054220,K,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템"
817,00103644,042370,K,비츠로테크,기타 금융업,"차단기, 개폐기"
818,01326792,307870,K,비투엔,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","데이터컨설팅, 품질관리 솔루션"
819,01381984,357880,K,비트나인,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스"
820,00231707,032850,K,비트컴퓨터,소프트웨어 개발 및 공급업,의료정보시스템
821,00980043,148780,K,비플라이소프트,소프트웨어 개발 및 공급업,"아이서퍼, 위고몬 등"
822,01109070,238200,K,비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등
823,00478900,093190,K,빅솔론,컴퓨터 및 주변장치 제조업,"POS용프린터,프린팅메카니즘"
824,00385363,065450,K,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류
825,00124726,005180,Y,빙그레,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조"
826,00359261,072950,K,빛샘전자,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체"
827,00857480,143240,K,사람인,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등"
828,00109718,003960,Y,사조대림,수산물 가공 및 저장 처리업,"게맛살,어육연제품,식용류,배합사료 제조"
829,00137252,008040,Y,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조"
830,00124799,007160,Y,사조산업,어로 어업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매"
831,00124780,014710,Y,사조씨푸드,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물
832,00141875,006090,Y,사조오양,수산물 가공 및 저장 처리업,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대"
833,01516368,419120,K,산돌,소프트웨어 개발 및 공급업,리테일 폰트 등
834,00799177,122350,K,삼기,자동차 신품 부품 제조업,자동차부품
835,01526806,419050,K,삼기이브이,자동차 신품 부품 제조업,배터리(이차전지) 부품 (엔드플레이트)
836,00125488,014970,K,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업",카톤팩
837,00125646,018310,K,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","갱폼,알루미늄폼,특수폼,알루미늄압출재"
838,00351092,053700,K,삼보모터스,자동차 신품 부품 제조업,증명서 자동발급기
839,00125822,009620,K,삼보산업,1차 비철금속 제조업,알미늄괴
840,00125938,023600,K,삼보판지,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
841,00125974,001470,Y,삼부토건,토목 건설업,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조"
842,01688896,448730,Y,삼성FN리츠,부동산 임대 및 공급업,대치타워 및 에스원빌딩
843,00126362,006400,Y,삼성SDI,일차전지 및 축전지 제조업,"2차전지, 전자재료 제조 판매"
844,00126201,006660,Y,삼성공조,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매"
845,01534522,380320,K,삼성머스트스팩5호,금융 지원 서비스업,기업인수합병
846,00149655,028260,Y,삼성물산,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등"
847,00877059,207940,Y,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업,바이오의약품
848,00126256,032830,Y,삼성생명,보험업,"생명보험,부동산 임대"
849,01528530,377630,K,삼성스팩4호,금융 지원 서비스업,기업인수합병
850,01624162,425290,K,삼성스팩6호,금융 지원 서비스업,기업인수합병
851,01675227,439250,K,삼성스팩7호,금융 지원 서비스업,기업인수합병
852,01700921,448740,K,삼성스팩8호,금융 지원 서비스업,기업인수합병
853,00126186,018260,Y,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO"
854,00126308,028050,Y,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","산업설비,건물,구축물,토목시설의 설계,시공,공사감리"
855,00126371,009150,Y,삼성전기,전자부품 제조업,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판"
856,00126380,005930,Y,삼성전자,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품,  전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등"
857,00126414,001360,Y,삼성제약,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매"
858,00126478,010140,Y,삼성중공업,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업"
859,00104856,016360,Y,삼성증권,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선"
860,00423690,068290,Y,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대"
861,00126292,029780,Y,삼성카드,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매"
862,00139214,000810,Y,삼성화재해상보험,보험업,"손해보험의 원수,재보험,운용자산의 투자활동"
